symbol,price_code,company_name,industry,exchange,sic_code
A,GOOG/NYSE_A,Agilent Technologies,Precision Instrument,NYSE,3800
AA,GOOG/NYSE_AA,Alcoa Inc.,Metals & Mining (Div.),NYSE,1000
AAC,GOOG/NASDAQ_AAC,Australia Acquisition,Internet,NASDAQ,7370
AACC,GOOG/NASDAQ_AACC,Asset Acceptance Capital,Financial Svcs. (Div.),NASDAQ,6100
AADI,GOOG/PINK_AADI,American Asset Development In,Diversified Co.,PINK,9913
AAH.TO,YAHOO/TSX_AAH_TO,Aastra Technologies Ltd.,Telecom. Equipment,TSX,4811
AAIIQ,GOOG/PINK_AAIIQ,aaiPharma Inc,Medical Services,PINK,8000
AAIR,GOOG/PINK_AAIR,Avantair Inc,Retail (Special Lines),PINK,5600
AAME,GOOG/NASDAQ_AAME,Atlantic American Corp.,Financial Svcs. (Div.),NASDAQ,6100
AAMRQ,GOOG/PINK_AAMRQ,AMR Corp.,Air Transport,PINK,4510
AAMUQ,GOOG/PINK_AAMUQ,American Ammunition Inc.,Aerospace/Defense,PINK,3720
AAN,GOOG/NYSE_AAN,Aaron's Inc.,Retail Store,NYSE,5300
AAON,GOOG/NASDAQ_AAON,Aaon,Electrical Equipment,NASDAQ,3600
AAP,GOOG/NYSE_AAP,Advance Auto Parts Inc,Auto Parts,NYSE,3716
AAPH,GOOG/PINK_AAPH,American Petro-Hunter Inc.,Petroleum (Producing),PINK,1300
AAPL,GOOG/NASDAQ_AAPL,Apple Inc.,Computer & Peripherals,NASDAQ,3573
AASL,GOOG/PINK_AASL,America's Suppliers Inc,Computer Software/Svcs,PINK,3579
AASP,GOOG/PINK_AASP,All-American Sportpark Inc,Recreation,PINK,7900
AAVG,GOOG/PINK_AAVG,AvStar Aviation Group Inc,Air Transport,PINK,4510
AAWW,GOOG/NASDAQ_AAWW,Atlas Air Worldwide Holdings,Air Transport,NASDAQ,4510
AB,GOOG/NYSE_AB,Alliance Capital Management L.P.,Trucking/Transp. Leasing,NYSE,4200
ABAT,GOOG/PINK_ABAT,Advanced Battery Technologies,E-Commerce,PINK,7372
ABAX,GOOG/NASDAQ_ABAX,Abaxis,Medical Supplies,NASDAQ,8060
ABB,GOOG/NYSE_ABB,Abb Ltd,Diversified Co.,NYSE,9913
ABBV,GOOG/NYSE_ABBV,AbbVie Inc.,Drug,NYSE,2834
ABC,GOOG/NYSE_ABC,Amerisourcebergen Corporation,Medical Supplies,NYSE,8060
ABCB,GOOG/NASDAQ_ABCB,Ameris Bancorp,Bank,NASDAQ,6000
ABCD,GOOG/NASDAQ_ABCD,Cambium Learning Group,Educational Services,NASDAQ,8299
ABCO,GOOG/NASDAQ_ABCO,The Advisory Board Company,Information Services,NASDAQ,8900
ABCP,GOOG/PINK_ABCP,Ambase Corp,Financial Svcs. (Div.),PINK,6100
ABCW,GOOG/PINK_ABCW,Anchor BanCorp WI,Thrift,PINK,6120
ABFS,GOOG/NASDAQ_ABFS,Arkansas Best Corp.,Trucking/Transp. Leasing,NASDAQ,4200
ABG,GOOG/NYSE_ABG,Asbury Automotive Group Inc,Auto & Truck,NYSE,3710
ABI,GOOG/AMEX_ABI,Safety First Trust,Precision Instrument,AMEX,3800
ABIO,GOOG/NASDAQ_ABIO,Arca Biopharma,Medical Supplies,NASDAQ,
ABIX,GOOG/PINK_ABIX,Abatix Corp,Machinery,PINK,
ABKFQ,GOOG/PINK_ABKFQ,Ambac Fin'l Group,Financial Svcs. (Div.),PINK,6100
ABLE,GOOG/PINK_ABLE,Able Energy Inc,Retail Store,PINK,5300
ABM,GOOG/NYSE_ABM,Abm Industries Incorporated,Industrial Services,NYSE,7300
ABMC,GOOG/PINK_ABMC,American Bio Medica Corp,Medical Services,PINK,8000
ABMD,GOOG/NASDAQ_ABMD,Abiomed,Medical Supplies,NASDAQ,8060
ABNS,GOOG/PINK_ABNS,Alliance Bancshares Ca.,Bank,PINK,6000
ABPI,GOOG/PINK_ABPI,Accents Biopharmaceuticals,Drug,PINK,2834
ABT,GOOG/NYSE_ABT,Abbott Laboratories,Medical Supplies,NYSE,8060
ABTL,GOOG/NASDAQ_ABTL,Autobytel Inc.,Internet,NASDAQ,7370
ABVA,GOOG/NASDAQ_ABVA,Alliance Bankshares Corp.,Bank,NASDAQ,6000
ABWG,GOOG/PINK_ABWG,A.B. Watley Group Inc,Financial Svcs. (Div.),PINK,6100
ABX,GOOG/NYSE_ABX,Barrick Gold Corp.,Gold/Silver Mining,NYSE,1041
ACAD,GOOG/NASDAQ_ACAD,Acadia Pharmaceuticals Inc.,Drug,NASDAQ,2834
ACAS,GOOG/NASDAQ_ACAS,American Capital,Financial Svcs. (Div.),NASDAQ,6100
