symbol,name,industry,exchange,sic,quandl_price_code,quandl_ratios_code,quandl_wiki_code
A,"Agilent Technologies","Precision Instrument",NYSE,3800,GOOG/NYSE_A,DMDRN/A_ALLFINANCIALRATIOS,WIKI/A
AA,"Alcoa Inc.","Metals & Mining (Div.)",NYSE,1000,GOOG/NYSE_AA,DMDRN/AA_ALLFINANCIALRATIOS,WIKI/AA
AAC,"Australia Acquisition",Internet,NASDAQ,7370,GOOG/NASDAQ_AAC,DMDRN/AAC_ALLFINANCIALRATIOS
AACC,"Asset Acceptance Capital","Financial Svcs. (Div.)",NASDAQ,6100,GOOG/NASDAQ_AACC,DMDRN/AACC_ALLFINANCIALRATIOS
AADI,"American Asset Development In","Diversified Co.",PINK,9913,GOOG/PINK_AADI,DMDRN/AADI_ALLFINANCIALRATIOS
AAH.TO,"Aastra Technologies Ltd.","Telecom. Equipment",TSX,4811,YAHOO/TSX_AAH_TO,DMDRN/AAH_TO_ALLFINANCIALRATIOS
AAIIQ,"aaiPharma Inc","Medical Services",PINK,8000,GOOG/PINK_AAIIQ,DMDRN/AAIIQ_ALLFINANCIALRATIOS
AAIR,"Avantair Inc","Retail (Special Lines)",PINK,5600,GOOG/PINK_AAIR,DMDRN/AAIR_ALLFINANCIALRATIOS
AAME,"Atlantic American Corp.","Financial Svcs. (Div.)",NASDAQ,6100,GOOG/NASDAQ_AAME,DMDRN/AAME_ALLFINANCIALRATIOS
AAMRQ,"AMR Corp.","Air Transport",PINK,4510,GOOG/PINK_AAMRQ,DMDRN/AAMRQ_ALLFINANCIALRATIOS
AAMUQ,"American Ammunition Inc.",Aerospace/Defense,PINK,3720,GOOG/PINK_AAMUQ,DMDRN/AAMUQ_ALLFINANCIALRATIOS
AAN,"Aaron's Inc.","Retail Store",NYSE,5300,GOOG/NYSE_AAN,DMDRN/AAN_ALLFINANCIALRATIOS,WIKI/AAN
AAON,Aaon,"Electrical Equipment",NASDAQ,3600,GOOG/NASDAQ_AAON,DMDRN/AAON_ALLFINANCIALRATIOS,WIKI/AAON
AAP,"Advance Auto Parts Inc","Auto Parts",NYSE,3716,GOOG/NYSE_AAP,DMDRN/AAP_ALLFINANCIALRATIOS,WIKI/AAP
AAPH,"American Petro-Hunter Inc.","Petroleum (Producing)",PINK,1300,GOOG/PINK_AAPH,DMDRN/AAPH_ALLFINANCIALRATIOS
AAPL,"Apple Inc.","Computer & Peripherals",NASDAQ,3573,GOOG/NASDAQ_AAPL,DMDRN/AAPL_ALLFINANCIALRATIOS,WIKI/AAPL
AASL,"America's Suppliers Inc","Computer Software/Svcs",PINK,3579,GOOG/PINK_AASL,DMDRN/AASL_ALLFINANCIALRATIOS
AASP,"All-American Sportpark Inc",Recreation,PINK,7900,GOOG/PINK_AASP,DMDRN/AASP_ALLFINANCIALRATIOS
AAVG,"AvStar Aviation Group Inc","Air Transport",PINK,4510,GOOG/PINK_AAVG,DMDRN/AAVG_ALLFINANCIALRATIOS
AAWW,"Atlas Air Worldwide Holdings","Air Transport",NASDAQ,4510,GOOG/NASDAQ_AAWW,DMDRN/AAWW_ALLFINANCIALRATIOS,WIKI/AAWW
AB,"Alliance Capital Management L.P.","Trucking/Transp. Leasing",NYSE,4200,GOOG/NYSE_AB,DMDRN/AB_ALLFINANCIALRATIOS
ABAT,"Advanced Battery Technologies",E-Commerce,PINK,7372,GOOG/PINK_ABAT,DMDRN/ABAT_ALLFINANCIALRATIOS
ABAX,Abaxis,"Medical Supplies",NASDAQ,8060,GOOG/NASDAQ_ABAX,DMDRN/ABAX_ALLFINANCIALRATIOS,WIKI/ABAX
ABB,"Abb Ltd","Diversified Co.",NYSE,9913,GOOG/NYSE_ABB,DMDRN/ABB_ALLFINANCIALRATIOS
ABBV,"AbbVie Inc.",Drug,NYSE,2834,GOOG/NYSE_ABBV,DMDRN/ABBV_ALLFINANCIALRATIOS,WIKI/ABBV
ABC,"Amerisourcebergen Corporation","Medical Supplies",NYSE,8060,GOOG/NYSE_ABC,DMDRN/ABC_ALLFINANCIALRATIOS,WIKI/ABC
ABCB,"Ameris Bancorp",Bank,NASDAQ,6000,GOOG/NASDAQ_ABCB,DMDRN/ABCB_ALLFINANCIALRATIOS,WIKI/ABCB
ABCD,"Cambium Learning Group","Educational Services",NASDAQ,8299,GOOG/NASDAQ_ABCD,DMDRN/ABCD_ALLFINANCIALRATIOS
ABCO,"The Advisory Board Company","Information Services",NASDAQ,8900,GOOG/NASDAQ_ABCO,DMDRN/ABCO_ALLFINANCIALRATIOS,WIKI/ABCO
ABCP,"Ambase Corp","Financial Svcs. (Div.)",PINK,6100,GOOG/PINK_ABCP,DMDRN/ABCP_ALLFINANCIALRATIOS
ABCW,"Anchor BanCorp WI",Thrift,PINK,6120,GOOG/PINK_ABCW,DMDRN/ABCW_ALLFINANCIALRATIOS
ABFS,"Arkansas Best Corp.","Trucking/Transp. Leasing",NASDAQ,4200,GOOG/NASDAQ_ABFS,DMDRN/ABFS_ALLFINANCIALRATIOS,WIKI/ABFS
ABG,"Asbury Automotive Group Inc","Auto & Truck",NYSE,3710,GOOG/NYSE_ABG,DMDRN/ABG_ALLFINANCIALRATIOS,WIKI/ABG
ABI,"Safety First Trust","Precision Instrument",AMEX,3800,GOOG/AMEX_ABI,DMDRN/ABI_ALLFINANCIALRATIOS
ABIO,"Arca Biopharma","Medical Supplies",NASDAQ,,GOOG/NASDAQ_ABIO,DMDRN/ABIO_ALLFINANCIALRATIOS
